Sentence #,Text,Tag,Offset
Sentence: 1,The,O,"[0, 2]"
Sentence: 1,meat,O,"[4, 7]"
Sentence: 1,quality,O,"[9, 15]"
Sentence: 1,traits,O,"[17, 22]"
Sentence: 1,were,O,"[24, 27]"
Sentence: 1,measured,O,"[29, 36]"
Sentence: 1,on,O,"[38, 39]"
Sentence: 1,samples,O,"[41, 47]"
Sentence: 1,from,O,"[49, 52]"
Sentence: 1,the,O,"[54, 56]"
Sentence: 1,and,O,"[58, 60]"
Sentence: 1,included,O,"[62, 69]"
Sentence: 1,over,O,"[71, 74]"
Sentence: 1,11111,O,"[76, 80]"
Sentence: 1,records,O,"[82, 88]"
Sentence: 1,from,O,"[90, 93]"
Sentence: 1,progeny,O,"[95, 101]"
Sentence: 1,of,O,"[103, 104]"
Sentence: 1,over,O,"[106, 109]"
Sentence: 1,111,O,"[111, 113]"
Sentence: 1,sires,O,"[115, 119]"
Sentence: 1,for,O,"[121, 123]"
Sentence: 1,intramuscular,O,"[125, 137]"
Sentence: 1,fat,O,"[139, 141]"
Sentence: 1,(,O,"[143, 143]"
Sentence: 1,IMF,O,"[144, 146]"
Sentence: 1,),O,"[147, 147]"
Sentence: 1,",",O,"[148, 148]"
Sentence: 1,shear,O,"[150, 154]"
Sentence: 1,force,O,"[156, 160]"
Sentence: 1,of,O,"[162, 163]"
Sentence: 1,meat,O,"[165, 168]"
Sentence: 1,aged,O,"[170, 173]"
Sentence: 1,for,O,"[175, 177]"
Sentence: 1,1,O,"[179, 179]"
Sentence: 1,d,O,"[181, 181]"
Sentence: 1,(,O,"[183, 183]"
Sentence: 1,SF5,O,"[184, 186]"
Sentence: 1,),O,"[187, 187]"
Sentence: 1,",",O,"[188, 188]"
Sentence: 1,11,O,"[190, 191]"
Sentence: 1,h,O,"[193, 193]"
Sentence: 1,postmortem,O,"[195, 204]"
Sentence: 1,pH,O,"[206, 207]"
Sentence: 1,(,O,"[209, 209]"
Sentence: 1,pHLL,O,"[210, 213]"
Sentence: 1,;,O,"[214, 214]"
Sentence: 1,also,O,"[216, 219]"
Sentence: 1,measured,O,"[221, 228]"
Sentence: 1,in,O,"[230, 231]"
Sentence: 1,the,O,"[233, 235]"
Sentence: 1,",",O,"[237, 237]"
Sentence: 1,pHST,O,"[239, 242]"
Sentence: 1,),O,"[243, 243]"
Sentence: 1,",",O,"[244, 244]"
Sentence: 1,fresh,O,"[246, 250]"
Sentence: 1,and,O,"[252, 254]"
Sentence: 1,retail,O,"[256, 261]"
Sentence: 1,meat,O,"[263, 266]"
Sentence: 1,color,O,"[268, 272]"
Sentence: 1,and,O,"[274, 276]"
Sentence: 1,meat,O,"[278, 281]"
Sentence: 1,nutritional,O,"[283, 293]"
Sentence: 1,value,O,"[295, 299]"
Sentence: 1,traits,O,"[301, 306]"
Sentence: 1,such,O,"[308, 311]"
Sentence: 1,as,O,"[313, 314]"
Sentence: 1,iron,O,"[316, 319]"
Sentence: 1,and,O,"[321, 323]"
Sentence: 1,zinc,O,"[325, 328]"
Sentence: 1,levels,O,"[330, 335]"
Sentence: 1,",",O,"[336, 336]"
Sentence: 1,and,O,"[338, 340]"
Sentence: 1,long-chain,O,"[342, 351]"
Sentence: 1,omega11,O,"[353, 359]"
Sentence: 1,and,O,"[361, 363]"
Sentence: 1,omega11,O,"[365, 371]"
Sentence: 1,polyunsaturated,O,"[373, 387]"
Sentence: 1,fatty,O,"[389, 393]"
Sentence: 1,acid,O,"[395, 398]"
Sentence: 1,levels,O,"[400, 405]"
Sentence: 1,.,O,"[406, 406]"
