Sentence #,Text,Tag,Offset
Sentence: 1,The,O,"[0, 2]"
Sentence: 1,objective,O,"[4, 12]"
Sentence: 1,of,O,"[14, 15]"
Sentence: 1,the,O,"[17, 19]"
Sentence: 1,first,O,"[21, 25]"
Sentence: 1,part,O,"[27, 30]"
Sentence: 1,of,O,"[32, 33]"
Sentence: 1,the,O,"[35, 37]"
Sentence: 1,study,O,"[39, 43]"
Sentence: 1,was,O,"[45, 47]"
Sentence: 1,to,O,"[49, 50]"
Sentence: 1,estimate,O,"[52, 59]"
Sentence: 1,genetic,O,"[61, 67]"
Sentence: 1,parameters,O,"[69, 78]"
Sentence: 1,for,O,"[80, 82]"
Sentence: 1,different,O,"[84, 92]"
Sentence: 1,causes,O,"[94, 99]"
Sentence: 1,of,O,"[101, 102]"
Sentence: 1,piglet,O,"[104, 109]"
Sentence: 1,losses,O,"[111, 116]"
Sentence: 1,and,O,"[118, 120]"
Sentence: 1,to,O,"[122, 123]"
Sentence: 1,investigate,O,"[125, 135]"
Sentence: 1,the,O,"[137, 139]"
Sentence: 1,relationship,O,"[141, 152]"
Sentence: 1,to,O,"[154, 155]"
Sentence: 1,litter-size,O,"[157, 167]"
Sentence: 1,traits,O,"[169, 174]"
Sentence: 1,.,O,"[175, 175]"
